date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:34:20	65/65	---M--	200	added ('OK')	text/plain	etag:%2241-611f7d73-ff63f7cd96e09505;;;%22	https://cocinandoentreolivos.com/robots.txt		(from )
00:34:21	241212/241212	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Mar%202024%2004:34:23%20GMT	https://cocinandoentreolivos.com/	C:/Users/villa/Desktop/Nueva%20carpeta/cocina/resetas/cocinandoentreolivos.com/index.html	(from )
00:34:23	20393/20393	---MCZ	200	added ('OK')	application/rss+xml	etag:%224f56adc39a147f77cac03852376779a9%22	https://cocinandoentreolivos.com/feed	C:/Users/villa/Desktop/Nueva%20carpeta/cocina/resetas/cocinandoentreolivos.com/feed	(from https://cocinandoentreolivos.com/)
00:34:26	392694/392694	---M--	200	added ('OK')	image/jpeg	etag:%225fdf6-659e3cd9-2e9cebf30d23d92;;;%22	https://cocinandoentreolivos.com/wp-content/uploads/2024/01/Tarta-salada-de-masa-filo-con-queso-de-cabra-y-peras-port.jpg	C:/Users/villa/Desktop/Nueva%20carpeta/cocina/resetas/cocinandoentreolivos.com/wp-content/uploads/2024/01/Tarta-salada-de-masa-filo-con-queso-de-cabra-y-peras-port.jpg	(from https://cocinandoentreolivos.com/)
00:34:27	12887/12887	---MCZ	200	added ('OK')	application/rss+xml	etag:%224f56adc39a147f77cac03852376779a9%22	https://cocinandoentreolivos.com/comments/feed	C:/Users/villa/Desktop/Nueva%20carpeta/cocina/resetas/cocinandoentreolivos.com/comments/feed	(from https://cocinandoentreolivos.com/)
00:34:28	8115/8115	---M-Z	200	added ('OK')	text/css	etag:%221fb3-632462c6-4daf4cdcef62f685;gz%22	https://cocinandoentreolivos.com/wp-content/plugins/a-z-listing/css/a-z-listing-default.css?ver=4.3.1	C:/Users/villa/Desktop/Nueva%20carpeta/cocina/resetas/cocinandoentreolivos.com/wp-content/plugins/a-z-listing/css/a-z-listing-default5b31.css	(from https://cocinandoentreolivos.com/)
00:34:28	11256/11256	---M-Z	200	added ('OK')	text/css	etag:%222bf8-611f7d9c-ef4c429b3fa3886d;gz%22	https://cocinandoentreolivos.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.17	C:/Users/villa/Desktop/Nueva%20carpeta/cocina/resetas/cocinandoentreolivos.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min1f61.css	(from https://cocinandoentreolivos.com/)
00:34:29	4186/4186	---M-Z	200	added ('OK')	text/css	etag:%22105a-611f7d9c-d7c0b5fea6f6fec9;gz%22	https://cocinandoentreolivos.com/wp-includes/js/mediaelement/wp-mediaelement.min.css?ver=6.4.3	C:/Users/villa/Desktop/Nueva%20carpeta/cocina/resetas/cocinandoentreolivos.com/wp-includes/js/mediaelement/wp-mediaelement.min84fc.css	(from https://cocinandoentreolivos.com/)
00:34:29	178363/178363	---M-Z	200	added ('OK')	text/css	etag:%222b8bb-65f2c0ff-9e1cb95fe7522473;gz%22	https://cocinandoentreolivos.com/wp-content/plugins/recipe-card-blocks-by-wpzoom-pro/dist/blocks.style.build.css?ver=5.4.3	C:/Users/villa/Desktop/Nueva%20carpeta/cocina/resetas/cocinandoentreolivos.com/wp-content/plugins/recipe-card-blocks-by-wpzoom-pro/dist/blocks.style.build00d1.css	(from https://cocinandoentreolivos.com/)
00:34:30	65248/65248	---M-Z	200	added ('OK')	text/css	etag:%22fee0-65f2c0ff-c6f4d6a2ee75ecc9;gz%22	https://cocinandoentreolivos.com/wp-content/plugins/recipe-card-blocks-by-wpzoom-pro/dist/assets/css/icon-fonts.build.css?ver=5.4.3	C:/Users/villa/Desktop/Nueva%20carpeta/cocina/resetas/cocinandoentreolivos.com/wp-content/plugins/recipe-card-blocks-by-wpzoom-pro/dist/assets/css/icon-fonts.build00d1.css	(from https://cocinandoentreolivos.com/)
00:34:30	3343/3343	---M-Z	200	added ('OK')	text/css	etag:%22d0f-65a52f9f-464bbf20e18f4ff8;gz%22	https://cocinandoentreolivos.com/wp-content/plugins/menu-image/includes/css/menu-image.css?ver=3.11	C:/Users/villa/Desktop/Nueva%20carpeta/cocina/resetas/cocinandoentreolivos.com/wp-content/plugins/menu-image/includes/css/menu-imagea237.css	(from https://cocinandoentreolivos.com/)
00:34:31	59016/59016	---M-Z	200	added ('OK')	text/css	etag:%22e688-611f7d9c-93f78aeb77a25da3;gz%22	https://cocinandoentreolivos.com/wp-includes/css/dashicons.min.css?ver=6.4.3	C:/Users/villa/Desktop/Nueva%20carpeta/cocina/resetas/cocinandoentreolivos.com/wp-includes/css/dashicons.min84fc.css	(from https://cocinandoentreolivos.com/)
00:34:31	1482/1482	---M-Z	200	added ('OK')	text/css	etag:%225ca-65a52fa2-243837121cc03ae3;gz%22	https://cocinandoentreolivos.com/wp-content/plugins/pdf-print/css/frontend.css?ver=2.3.6	C:/Users/villa/Desktop/Nueva%20carpeta/cocina/resetas/cocinandoentreolivos.com/wp-content/plugins/pdf-print/css/frontend9254.css	(from https://cocinandoentreolivos.com/)
